ELC550 ,BAHASA INGGERIS UNTUK PENULISAN AKADEMIK ,0,0,2
ELC590 ,BAHASA INGGERIS UNTUK PEMBENTANGAN LISAN ,0,0,2
ELC650 ,BAHASA INGGERIS UNTUK INTERAKSI PROFESIONAL ,0,0,2
ENT600 ,KEUSAHAWANAN TEKNOLOGI ,0,0,3
EWC661 ,BAHASA INGGERIS UNTUK PENULISAN LAPORAN ,0,0,2
HBU111 ,KESATRIA NEGARA I ,0,0,3
HBU121 ,KESATRIA NEGARA II ,0,0,3
HBU131 ,KESATRIA NEGARA III ,0,0,3
ICT400 ,ASAS TEKNOLOGI MAKLUMAT ,2,0,2
ICT500 ,PEMIKIRAN KRITIKAL DAN KREATIF BAGI PENYELESAIAN TEKNOLOGI MAKLUMAT ,2,0,2
ICT550 ,PRINSIP PENGURUSAN DATA ,2,0,2
ICT551 ,INTERAKSI MANUSIA KOMPUTER ,0,2,2
ICT552 ,TEKNOLOGI E-PERDAGANGAN ,2,0,2
ICT554 ,PENGENALAN KEPADA INFRASTRUKTUR TEKNOLOGI MAKLUMAT ,2,0,2
ICT600 ,TEKNOLOGI DAN APLIKASI WEB ,2,0,2
ICT650 ,TEKNOLOGI BERGERAK ,2,0,2
ICT700 ,TEKNOLOGI MAKLUMAT DAN KONVERGEN ,0,0,3
ICT701 ,FORMALISME PENYELESAIAN MASALAH UNTUK TEKNOLOGI MAKLUMAT ,0,0,3
ICT702 ,INFRASTRUKTUR TEKNOLOGI MAKLUMAT ,0,0,3
ICT703 ,INFORMATIK BERPUSATKAN MANUSIA ,0,0,3
ICT704 ,TEKNOLOGI DATA LANJUTAN ,0,0,3
ICT705 ,KEJURUTERAAN SISTEM WEB LANJUTAN ,0,0,3
ICT706 ,PERANCANGAN STRATEGIK TEKNOLOGI MAKLUMAT ,0,0,3
ICT707 ,KEUSAHAWANAN DAN INOVASI TEKNOLOGI MAKLUMAT ,0,0,3
ICT708 ,ISU PROFESIONAL DAN KEMASYARAKATAN DALAM TEKNOLOGI MAKLUMAT ,0,0,3
ICT751 ,PENGURUSAN TEKNOLOGI MAKLUMAT ,0,0,3
ICT755 ,PENGURUSAN PROJEK TEKNOLOGI MAKLUMAT LANJUTAN ,0,0,3
INB780 ,PERNIAGAAN ANTARABANGSA ,0,0,3
INS420 ,RISIKO DAN INSURANS ,0,0,2
IPK500 ,FALSAFAH LOGIK ISLAM ,0,0,3
IPK502 ,ETIKA DALAM PERNIAGAAN ISLAM ,0,0,3
ITS401 ,TEKNOLOGI MAKLUMAT DALAM KEWANGAN DAN PERBANKAN ,0,0,3
ITS410 ,ASAS SISTEM MAKLUMAT ,0,2,2
ITS411 ,ASAS PEMBANGUNAN SISTEM MAKLUMAT ,2,0,2
ITS432 ,REKABENTUK DAN APLIKASI PANGKALAN DATA ,2,0,2
ITS462 ,ASAS KECERDASAN BUATAN ,0,2,2
ITS470 ,ANALISIS KEPERLUAN BERORIENTASI OBJEK ,2,0,2
ITS472 ,SISTEM PENGURUSAN PANGKALAN DATA ,2,0,2
ITS473 ,PEMBAIKAN PERISIAN ,0,2,2
ITS510 ,MENGURUS PROJEK IT ,0,2,2
ITS515 ,PELABURAN TEKNOLOGI MAKLUMAT ,0,2,2
ITS521 ,PEMBANGUNAN APLIKASI DAN PERDAGANGAN ELEKTRONIK ,2,0,2
ITS562 ,PARADIGMA PENGATURCARAAN KECERDASAN BUATAN ,2,0,2
ITS572 ,KEJURUTERAAN SISTEM MAKLUMAT ,2,0,2
ITS580 ,PENGENALAN KEPADA RANGKA KERJA SENIBINA PERUSAHAAN ,0,2,2
ITS583 ,KECERDASAN PERNIAGAAN ,0,2,2
ITS587 ,PENGENALAN KEPADA PENGURUSAN PENGETAHUAN ,2,2,2
ITS610 ,ISU SOSIAL- ETIKA DAN PROFESIONAL ,0,2,2
ITS660 ,RANGKAIAN NEURAL BUATAN ,0,2,2
ITS661 ,SISTEM BERASAS PENGETAHUAN ,2,0,2
ITS665 ,PERLOMBONGAN DATA ,2,0,2
ITS666 ,ALGORITMA BEREVOLUSI ,2,0,2
ITS667 ,TOPIK KHUSUS DI DALAM KECERDASAN BUATAN ,0,2,2
ITS668 ,SISTEM LOGIK KABUR ,0,2,2
ITS669 ,AGEN PINTAR ,2,0,2
ITS670 ,PEMERIKSAAN DAN EVOLUSI SISTEM ,0,2,2
ITS674 ,SISTEM SOKONG PEMBUATAN KEPUTUSAN PINTAR ,2,0,2
ITS690 ,PROJEK TEKNOLOGI MAKLUMAT ,0,2,2
ITS773 ,TEKNOLOGI AGEN ,0,0,3
ITT400 ,PENGENALAN KOMUNIKASI DATA DAN PERANGKAIAN ,2,0,2
ITT420 ,PENTADBIRAN SISTEM DAN RANGKAIAN ,2,0,2
ITT430 ,MIKROPEMPROSES ,0,0,4
ITT440 ,PENGATURCARAAN RANGKAIAN ,2,0,2
ITT450 ,KESELAMATAN MAKLUMAT DAN RANGKAIAN ,2,0,2
ITT470 ,ELEKTRONIK DIGITAL ,0,2,2
ITT501 ,ASAS NETSENTRIK ,2,0,2
ITT531 ,PRINSIP RANGKAIAN ,2,0,2
ITT532 ,TEKNOLOGI PENGHALAAN DAN PENSUISAN ,2,0,2
ITT542 ,TCP/IP ,2,0,2
ITT545 ,SENIBINA WEB ,2,0,2
ITT550 ,REKA BENTUK DAN PENGURUSAN RANGKAIAN ,2,0,2
ITT575 ,PENGKOMPUTERAN WAYARLES DAN BERGERAK ,2,0,2
